ticker,form,filing_date,ret_21d,ret_21d_spy,ret_21d_excess,status
AYI,10-Q,2015-01-09,0.0604644676742947,0.01253362071470554,0.04793084695958916,ok
CTAS,10-Q,2015-01-09,0.04486492544186205,0.01253362071470554,0.03233130472715651,ok
URI,10-K,2015-01-21,0.09616295675661934,0.04018153311277328,0.05598142364384606,ok
JCI,10-Q,2015-01-30,0.05660391630561512,0.05851069661369013,-0.0019067803080750068,ok
KSU,10-K,2015-01-30,,0.05851069661369013,,missing_price
J,10-Q,2015-02-02,0.09861989281626293,0.04115484738835429,0.057465045427908645,ok
NOC,10-K,2015-02-02,0.03406790705691787,0.04115484738835429,-0.00708694033143642,ok
ROK,10-Q,2015-02-05,-0.0006486297444198152,0.010867396597795231,-0.011516026342215047,ok
FAST,10-K,2015-02-05,-0.02829311010959068,0.010867396597795231,-0.03916050670738591,ok
LUV,10-K,2015-02-06,-0.025864469109302513,-0.0027730371040767254,-0.023091432005225787,ok
UNP,10-K,2015-02-06,-0.05371700647268096,-0.0027730371040767254,-0.050943969368604236,ok
GD,10-K,2015-02-09,-0.033883405842419445,-0.0006350449825025528,-0.03324836085991689,ok
LMT,10-K,2015-02-09,0.029243603793879247,-0.0006350449825025528,0.0298786487763818,ok
LHX,10-Q,2015-02-10,-0.04090809256259165,0.0014024162537413787,-0.042310508816333026,ok
NSC,10-K,2015-02-11,-0.004215951985769406,-0.005315772686005471,0.001099820700236065,ok
DAL,10-K,2015-02-11,0.013598719489847033,-0.005315772686005471,0.018914492175852504,ok
ALK,10-K,2015-02-11,0.03662225383059248,-0.005315772686005471,0.04193802651659795,ok
RTN,10-K,2015-02-11,,-0.005315772686005471,,missing_price
CSX,10-K,2015-02-11,-0.046070801665569094,-0.005315772686005471,-0.04075502897956362,ok
BA,10-K,2015-02-12,0.03768005985310707,-0.001627045669770899,0.03930710552287797,ok
MMM,10-K,2015-02-12,0.0018082207711005438,-0.001627045669770899,0.003435266440871443,ok
MAS,10-K,2015-02-13,-0.023062586125408457,-0.008675781608239896,-0.014386804517168561,ok
R,10-K,2015-02-13,0.01496938076070875,-0.008675781608239896,0.023645162368948647,ok
DOV,10-K,2015-02-13,-0.06280536466389708,-0.008675781608239896,-0.05412958305565718,ok
CAT,10-K,2015-02-17,-0.04743440653430109,0.0016657553855663476,-0.049100161919867436,ok
CMI,10-K,2015-02-17,0.006116230762839292,0.0016657553855663476,0.004450475377272944,ok
LII,10-K,2015-02-17,0.04256907620123562,0.0016657553855663476,0.040903320815669275,ok
AOS,10-K,2015-02-17,0.0409727951787946,0.0016657553855663476,0.03930703979322825,ok
