ticker,form,filing_date,ret_21d,status
AAPL,10-K,2023-11-03,0.09637600419655645,ok
AAPL,10-Q,2023-08-04,0.04377242793493896,ok
AAPL,10-Q,2024-02-02,-0.08347030162334235,ok
AAPL,10-Q,2016-07-27,0.050536533332294464,ok
AAPL,10-Q,2017-08-02,0.04775348923542677,ok
AAPL,10-Q,2025-05-02,-0.008831015250179153,ok
AAPL,10-K,2019-10-31,0.06509542251628497,ok
AAPL,10-Q,2017-02-01,0.09037688730521265,ok
AAPL,10-Q,2016-01-27,0.04298682506562135,ok
AAPL,10-Q,2022-07-29,-0.005574102362455924,ok
AAPL,10-Q,2025-08-01,0.13638056841333435,ok
AAPL,10-Q,2021-07-28,0.019181993085279014,ok
AAPL,10-Q,2024-08-02,0.014408587814035423,ok
AAPL,10-Q,2021-04-29,-0.06486602300731337,ok
AAPL,10-K,2017-11-03,-0.013044555913070632,ok
AAPL,10-Q,2019-07-31,-0.015189051933269138,ok
AAPL,10-Q,2020-07-31,0.21656908730912283,ok
AAPL,10-Q,2021-01-28,-0.0664458265466662,ok
AAPL,10-K,2015-10-28,-0.00801259790431541,ok
AAPL,10-Q,2019-05-01,-0.16519003232577623,ok
AAPL,10-Q,2019-01-30,0.06336119638493742,ok
AAPL,10-K,2024-11-01,0.08975352102021361,ok
AAPL,10-K,2016-10-26,-0.027909141140733507,ok
AAPL,10-Q,2020-05-01,0.12158024754887231,ok
AAPL,10-Q,2018-05-02,0.08157437176294269,ok
AAPL,10-Q,2024-05-03,0.06125857493585696,ok
AAPL,10-Q,2025-01-31,0.0008025027079925362,ok
AAPL,10-K,2022-10-28,-0.09204987357640337,ok
AAPL,10-K,2018-11-05,-0.13026598788374077,ok
AAPL,10-K,2021-10-29,0.10508178442839133,ok
AAPL,10-Q,2016-04-27,0.03272695119288427,ok
AAPL,10-Q,2020-01-29,-0.15518074129150639,ok
AAPL,10-Q,2022-01-28,-0.04063920014546796,ok
AAPL,10-Q,2018-08-01,0.12069057796115468,ok
AAPL,10-Q,2023-05-05,0.03392214912973701,ok
AAPL,10-Q,2023-02-03,-0.01727207344104098,ok
AAPL,10-K,2020-10-30,0.12926467558950172,ok
AAPL,10-Q,2017-05-03,0.06141439733757137,ok
AAPL,10-Q,2018-02-02,0.1052354732607339,ok
AAPL,10-Q,2022-04-29,-0.054496064061954286,ok
ACN,10-Q,2024-12-19,-0.019766236833875572,ok
ACN,10-Q,2023-03-23,0.024584847816479405,ok
ACN,10-Q,2018-03-22,0.02769387656665656,ok
ACN,10-Q,2017-12-21,0.041504871747959804,ok
ACN,10-Q,2020-06-25,0.03137398421256443,ok
ACN,10-Q,2023-06-22,0.023358738905393306,ok
ACN,10-Q,2025-03-20,-0.06744664586444438,ok
ACN,10-K,2021-10-15,0.07790642743162146,ok
ACN,10-Q,2023-12-19,0.07918046688481795,ok
ACN,10-K,2022-10-12,0.14775895735424305,ok
ACN,10-Q,2017-06-22,0.04857460952858261,ok
ACN,10-K,2023-10-12,0.05036810313604545,ok
ACN,10-Q,2020-03-19,0.10743541500415543,ok
ACN,10-Q,2018-12-20,0.03428551413578984,ok
ACN,10-Q,2017-03-23,-0.0013388844090174157,ok
ACN,10-Q,2018-06-28,-0.030881452752074656,ok
ACN,10-Q,2016-12-21,-0.012044220582298815,ok
ACN,10-Q,2021-12-16,-0.12835013895204894,ok
ACN,10-K,2018-10-24,0.024882617989230305,ok
ACN,10-Q,2024-03-21,-0.07645981296222348,ok
ACN,10-Q,2021-06-24,0.09713380813087635,ok
ACN,10-K,2020-10-22,0.06706402434445713,ok
ACN,10-Q,2019-12-19,0.009215713572090944,ok
ACN,10-Q,2019-06-27,0.07841513375992748,ok
ACN,10-K,2017-10-26,0.038951664691482035,ok
ACN,10-Q,2022-06-23,0.01570518985306424,ok
ACN,10-K,2015-10-30,0.008675399136044426,ok
ACN,10-K,2016-10-28,0.04556076420531152,ok
ACN,10-Q,2016-03-24,0.007942627458813467,ok
ACN,10-Q,2024-06-20,0.087548589533464,ok
ACN,10-Q,2022-03-17,-0.015543909963371072,ok
ACN,10-Q,2015-12-17,-0.040674009532208344,ok
ACN,10-Q,2020-12-17,-0.007206092357044391,ok
